year,make,model,price
2023,Honda,Elevate,14530
2023,Honda,e,37140
2023,Honda,e Advance,37140
2023,Honda,Pilot Elite AWD,52030
2023,Honda,Pilot EX-L 8-Passenger AWD,42310
2023,Honda,Pilot EX-L 8-Passenger 2WD,41950
2023,Honda,Pilot Sport 4WD,40080
2023,Honda,City ZX CVT,19350
2023,Honda,City V CVT,16510
2023,Honda,New City ZX Petrol MT,17880
2023,Honda,New City VX Petrol MT,16400
2023,Honda,City Hybrid eHEV ZX,24770
2023,Honda,City Hybrid eHEV V,22970
2023,Honda,New City V Petrol MT,15030
2023,Honda,New City SV Petrol MT,14010
2023,Honda,City Hybrid ZX CVT,28520
2023,Honda,City Hybrid V CVT,26450
2023,Honda,City V,17500
2023,Honda,City SV,16260
2023,Honda,City Hybrid,26640
2023,Honda,HR-V VTi-S,28230
2023,Honda,HR-V VTi,27470
2023,Honda,Accord EX,29610
2023,Honda,Civic Type R Touring Manual,43290
2023,Honda,Passport EX-L,41100
2023,Honda,Pilot EX-L AWD,42310
2023,Honda,CR-V EX-L AWD,35260
2023,Honda,CR-V EX AWD,32610
2023,Honda,CR-V Hybrid Sport AWD,33950
2023,Honda,Civic Type R Touring,42890
2023,Honda,Civic Sport Sedan,24650
2023,Honda,Accord Hybrid Sport-L,33870
2023,Honda,Accord Sedan,28000
2023,Honda,ZR-V,25000
2023,BMW,8 Series 840i,No price available
2023,BMW,I5,BMW i5 2023
2023,BMW,i5,No price available
2023,BMW,i7 M60,No price available
2023,BMW,i3s 120 Ah,45550
2023,BMW,iX3,70930
2023,BMW,i4 xDrive40,62600
2023,BMW,i7 eDrive50,106700
2023,BMW,iX1 xDrive30,60490
2023,BMW,i7 M70 xDrive,350000
2023,BMW,M2 Brooklyn Grau,63500
2023,BMW,M2 Zandvoort Blau,63000
2023,BMW,X1 sDrive18d M Sport,69420
2023,BMW,X1 sDrive18i xLine,64550
2023,BMW,X7 xDrive40d M Sport,179890
2023,BMW,X7 xDrive40i M Sport,171330
2023,BMW,Alpina B5 GT Sedan,156890
2023,BMW,Alpina B5 GT Wagon,161100
2023,BMW,M4 Competition Coupe,78600
2023,BMW,i4 eDrive35,51400
2023,BMW,3.0 CSL Coupe,750000
2023,BMW,5 Series Hybrid,56400
2023,BMW,4 Series M440i Gran Coupe,57450
2023,BMW,M8 Coupe Competition,308090
2023,BMW,M6,105990
2023,BMW,530i xDrive Sedan,BMW 530i xDrive 2023
2023,BMW,530i xDrive,57100
2023,BMW,530e Plug-In Hybrid,56400
2023,Lexus,Electric,No price available
2023,Lexus,LC 500 Edge Limited Edition,126290
2023,Lexus,RZ 450e Luxury,64000
2023,Lexus,RZ 450e Premium,58500
2023,Lexus,LX Ultra Luxury,126000
2023,Lexus,LC 500 Coupe,94000
2023,Lexus,IS 350 F SPORT Design AWD,44510
2023,Lexus,IS 300 AWD,41435
2023,Lexus,ES 350 F SPORT Handling,47800
2023,Lexus,NX 350h Luxury,49000
2023,Lexus,ES 300h F SPORT Design,46920
2023,Lexus,ES 250 F SPORT Design,45920
2023,Lexus,NX 250 Premium,41650
2023,Lexus,NX 350 F SPORT Handling,47050
2023,Lexus,UX 300e 73kWh,35920
2023,Lexus,UX 250h F SPORT HANDLING,42200
2023,Lexus,UX 250h Premium AWD,38630
2023,Lexus,UX 250h Premium,37230
2023,Lexus,UX 250h F SPORT DESIGN,37230
2023,Lexus,UX 250h AWD,36170
2023,Lexus,BX,57575
2023,Lexus,RX Hybrid 500h F Sport Performance,61600
2023,Lexus,NX 450h+ Plug-in Hybrid F SPORT,58400
2023,Lexus,RX Hybrid 350h,49000
2023,Lexus,IS 350 F Sport RWD,45760
2023,Lexus,UX Hybrid,34770
2023,Lexus,UX,43605
2023,Hyundai,Ioniq Hybrid Limited,No price available
2023,Hyundai,RM20 N,No price available
2023,Hyundai,Ioniq 5 Long Range,No price available
2023,Hyundai,Ioniq 5 SR AWD,No price available
