year,make,model,class,motor,engine_size,cylinders,transmission,fuel_1,comb(Le/100Km),range_1,recharge_time,fuel_2,city(L/100km),hwy(L/100km),comb(L/100km),range_2,co2_emissions,co2_rating,smog_rating
2023,Audi,Q5 55 TFSI e quattro,SUV: Small,105.0,2.0,4.0,AM7,B/Z*,3.9 ([34.8 kWh + 0.0 L]/100 km),37.0,3.0,Z,9.3,8.7,9.0,600.0,92.0,9.0,7.0
2023,Bentley,Bentayga Hybrid,SUV: Standard,100.0,3.0,6.0,AS8,B/Z*,5.0 ([44.2 kWh + 0.0 L]/100 km),31.0,3.0,Z,13.3,9.8,11.7,652.0,138.0,7.0,3.0
2023,Bentley,Flying Spur Hybrid,Mid-size,103.0,2.9,6.0,AM8,B/Z*,5.1 ([45.9 kWh + 0.0 L]/100 km),34.0,3.0,Z,13.7,10.7,12.3,653.0,156.0,7.0,5.0
2023,BMW,330e Sedan,Compact,80.0,2.0,4.0,AS8,B/Z*,3.2 ([28.2 kWh + 0.0 L]/100 km),35.0,3.0,Z,9.9,7.4,8.8,468.0,98.0,9.0,7.0
2023,BMW,330e xDrive Sedan,Compact,80.0,2.0,4.0,AS8,B/Z*,3.4 ([29.5 kWh + 0.0 L]/100 km),34.0,3.0,Z,10.6,7.4,9.2,452.0,107.0,9.0,7.0
2023,BMW,530e xDrive Sedan,Mid-size,80.0,2.0,4.0,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31.0,3.0,Z,10.5,8.4,9.5,486.0,126.0,8.0,7.0
2023,BMW,X3 xDrive30e,SUV: Small,80.0,2.0,4.0,AS8,B/Z*,3.9 ([34.7 kWh + 0.0 L]/100 km),29.0,3.0,Z,11.4,8.6,10.1,502.0,129.0,8.0,7.0
2023,BMW,X5 xDrive45e,SUV: Standard,83.0,3.0,6.0,AS8,B/Z*,4.5 ([39.2 kWh + 0.0 L]/100 km),50.0,5.0,Z,12.2,10.6,11.5,602.0,110.0,8.0,7.0
2023,BMW,XM,SUV: Standard,145.0,4.4,8.0,AS8,B/Z*,5.1 ([45.5 kWh + 0.0 L]/100 km),50.0,7.0,Z,19.9,13.9,17.2,431.0,152.0,7.0,7.0
2023,Chrysler,Pacifica Hybrid,Minivan,89.0,3.6,6.0,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51.0,2.0,X,8.0,7.9,8.0,784.0,74.0,10.0,7.0
