Rank,make,model,class,motor,range,recharge_time,efficiency_score
1,MINI,Cooper SE 3 Door,Subcompact,135.0,183.0,4.0,45.75
2,Mazda,MX-30,Mid-size,107.0,161.0,5.3,30.37735849056604
3,Volkswagen,ID.4,SUV: Small,150.0,336.0,6.0,56.0
4,Kia,Soul EV (120 Ah),Station wagon: Small,150.0,248.0,6.0,41.333333333333336
5,Hyundai,IONIQ 6 Standard Range,Mid-size,111.0,386.0,6.1,63.278688524590166
6,Mercedes-Benz,EQB 350 4MATIC SUV,SUV: Small,215.0,356.0,6.25,56.96
7,Kia,EV6 Standard Range,Station wagon: Small,125.0,373.0,6.3,59.20634920634921
8,Hyundai,IONIQ 5 Standard Range,Full-size,125.0,354.0,6.3,56.19047619047619
9,Cadillac,LYRIQ,SUV: Small,254.0,502.0,6.5,77.23076923076923
10,Genesis,GV60 Advanced AWD,Full-size,234.0,399.0,7.2,55.416666666666664
